Title,Genre,Second_Genre,Release_Year,Budget_Category,Revenue_Category,Runtime_Category,Rating_Category,Vote_Count_Category,Popularity_Category,Language,Production_Country,Main_Actor,Director
The Amazing Spider-Man,Action,Adventure,2012.0,High,High,Medium,Medium,High,High,en,United States of America,Andrew Garfield,Marc Webb
Robin Hood,Action,Adventure,2010.0,High,High,Long,Medium,Medium,High,en,United Kingdom,Russell Crowe,Ridley Scott
The Hobbit: The Desolation of Smaug,Adventure,Fantasy,2013.0,High,High,Long,High,High,High,en,New Zealand,Martin Freeman,Peter Jackson
The Golden Compass,Adventure,Fantasy,2007.0,High,High,Medium,Medium,Medium,High,en,United Kingdom,Dakota Blue Richards,Chris Weitz
King Kong,Adventure,Drama,2005.0,High,High,Long,Medium,High,High,en,New Zealand,Naomi Watts,Peter Jackson
Titanic,Drama,Romance,1997.0,High,High,Long,High,High,High,en,United States of America,Kate Winslet,James Cameron
Captain America: Civil War,Adventure,Action,2016.0,High,High,Long,High,High,High,en,United States of America,Chris Evans,Anthony Russo
Battleship,Thriller,Action,2012.0,High,High,Medium,Medium,High,High,en,United States of America,Taylor Kitsch,Peter Berg
Jurassic World,Action,Adventure,2015.0,High,High,Medium,Medium,High,High,en,United States of America,Chris Pratt,Colin Trevorrow
Skyfall,Action,Adventure,2012.0,High,High,Long,Medium,High,High,en,United Kingdom,Daniel Craig,Sam Mendes
Spider-Man 2,Action,Adventure,2004.0,High,High,Medium,Medium,High,High,en,United States of America,Tobey Maguire,Sam Raimi
Iron Man 3,Action,Adventure,2013.0,High,High,Medium,Medium,High,High,en,China,Robert Downey Jr.,Shane Black
Alice in Wonderland,Family,Fantasy,2010.0,High,High,Medium,Medium,High,High,en,United States of America,Mia Wasikowska,Tim Burton
X-Men: The Last Stand,Adventure,Action,2006.0,High,High,Medium,Medium,High,Low,en,Canada,Hugh Jackman,Brett Ratner
Monsters University,Animation,Family,2013.0,High,High,Medium,High,High,High,en,United States of America,Billy Crystal,Dan Scanlon
Transformers: Revenge of the Fallen,Science Fiction,Action,2009.0,High,High,Long,Medium,High,Medium,en,United States of America,Shia LaBeouf,Michael Bay
Transformers: Age of Extinction,Science Fiction,Action,2014.0,High,High,Long,Medium,High,High,en,United States of America,Mark Wahlberg,Michael Bay
Oz: The Great and Powerful,Fantasy,Adventure,2013.0,High,High,Medium,Medium,High,High,en,United States of America,James Franco,Sam Raimi
The Amazing Spider-Man 2,Action,Adventure,2014.0,High,High,Long,Medium,High,High,en,United States of America,Andrew Garfield,Marc Webb
TRON: Legacy,Adventure,Action,2010.0,High,High,Medium,Medium,High,High,en,United States of America,Garrett Hedlund,Joseph Kosinski
Cars 2,Animation,Family,2011.0,High,High,Medium,Medium,High,High,en,United States of America,Owen Wilson,John Lasseter
Green Lantern,Adventure,Action,2011.0,High,Medium,Medium,Medium,High,High,en,United States of America,Ryan Reynolds,Martin Campbell
Toy Story 3,Animation,Family,2010.0,High,High,Medium,High,High,High,en,United States of America,Tom Hanks,Lee Unkrich
Terminator Salvation,Action,Science Fiction,2009.0,High,High,Medium,Medium,High,High,en,Germany,Christian Bale,McG
World War Z,Action,Drama,2013.0,High,High,Medium,Medium,High,High,en,United States of America,Brad Pitt,Marc Forster
X-Men: Days of Future Past,Action,Adventure,2014.0,High,High,Medium,High,High,High,en,United Kingdom,Hugh Jackman,Bryan Singer
Star Trek Into Darkness,Action,Adventure,2013.0,High,High,Medium,High,High,High,en,United States of America,Chris Pine,J.J. Abrams
Jack the Giant Slayer,Action,Family,2013.0,High,Medium,Medium,Medium,High,High,en,United States of America,Nicholas Hoult,Bryan Singer
The Great Gatsby,Drama,Romance,2013.0,High,High,Long,High,High,High,en,United States of America,Leonardo DiCaprio,Baz Luhrmann
Prince of Persia: The Sands of Time,Adventure,Fantasy,2010.0,High,High,Medium,Medium,High,High,en,United States of America,Jake Gyllenhaal,Mike Newell
Pacific Rim,Action,Science Fiction,2013.0,High,High,Medium,Medium,High,High,en,United States of America,Idris Elba,Guillermo del Toro
Transformers: Dark of the Moon,Action,Science Fiction,2011.0,High,High,Long,Medium,High,Medium,en,United States of America,Shia LaBeouf,Michael Bay
Indiana Jones and the Kingdom of the Crystal Skull,Adventure,Action,2008.0,High,High,Medium,Medium,High,High,en,United States of America,Harrison Ford,Steven Spielberg
The Good Dinosaur,Adventure,Animation,2015.0,High,High,Medium,Medium,Medium,High,en,United States of America,Raymond Ochoa,Peter Sohn
Brave,Animation,Adventure,2012.0,High,High,Medium,Medium,High,High,en,United States of America,Kelly Macdonald,Brenda Chapman
Star Trek Beyond,Action,Adventure,2016.0,High,High,Medium,Medium,High,High,en,United States of America,Chris Pine,Justin Lin
WALL·E,Animation,Family,2008.0,High,High,Medium,High,High,High,en,United States of America,Ben Burtt,Andrew Stanton
Rush Hour 3,Action,Comedy,2007.0,High,Medium,Medium,Medium,Medium,Medium,en,United States of America,Chris Tucker,Brett Ratner
2012,Action,Adventure,2009.0,High,High,Long,Medium,High,High,en,Canada,John Cusack,Roland Emmerich
A Christmas Carol,Animation,Drama,2009.0,High,High,Medium,Medium,Medium,High,en,United States of America,Gary Oldman,Robert Zemeckis
Jupiter Ascending,Science Fiction,Fantasy,2015.0,High,Medium,Medium,Medium,High,High,en,United States of America,Mila Kunis,Lilly Wachowski
The Legend of Tarzan,Action,Adventure,2016.0,High,High,Medium,Medium,High,High,en,Canada,Alexander Skarsgård,David Yates
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure,Family,2005.0,High,High,Long,Medium,High,High,en,United Kingdom,William Moseley,Andrew Adamson
The Dark Knight,Drama,Action,2008.0,High,High,Long,High,High,High,en,United Kingdom,Christian Bale,Christopher Nolan
Up,Animation,Comedy,2009.0,High,High,Medium,High,High,High,en,United States of America,Ed Asner,Pete Docter
Monsters vs Aliens,Animation,Family,2009.0,High,High,Medium,Medium,Medium,High,en,United States of America,Seth Rogen,Conrad Vernon
Iron Man,Action,Science Fiction,2008.0,High,High,Medium,High,High,High,en,United States of America,Robert Downey Jr.,Jon Favreau
Hugo,Adventure,Drama,2011.0,High,Medium,Medium,High,High,High,en,France,Ben Kingsley,Martin Scorsese
Wild Wild West,Action,Adventure,1999.0,High,Medium,Medium,Medium,Medium,High,en,United States of America,Will Smith,Barry Sonnenfeld
The Mummy: Tomb of the Dragon Emperor,Adventure,Action,2008.0,High,High,Medium,Medium,Medium,High,en,Germany,Brendan Fraser,Rob Cohen
Suicide Squad,Action,Adventure,2016.0,High,High,Medium,Medium,High,High,en,United States of America,Will Smith,David Ayer
Evan Almighty,Fantasy,Comedy,2007.0,High,Medium,Medium,Medium,Medium,Medium,en,United States of America,Steve Carell,Tom Shadyac
Edge of Tomorrow,Action,Science Fiction,2014.0,High,High,Medium,High,High,High,en,Australia,Tom Cruise,Doug Liman
Waterworld,Adventure,Action,1995.0,High,Medium,Medium,Medium,Medium,High,en,United States of America,Kevin Costner,Kevin Reynolds
G.I. Joe: The Rise of Cobra,Adventure,Action,2009.0,High,High,Medium,Medium,Medium,High,en,Czech Republic,Dennis Quaid,Stephen Sommers
Inside Out,Drama,Comedy,2015.0,High,High,Medium,High,High,High,en,United States of America,Amy Poehler,Pete Docter
The Jungle Book,Family,Adventure,2016.0,High,High,Medium,Medium,High,High,en,United Kingdom,Neel Sethi,Jon Favreau
Iron Man 2,Adventure,Action,2010.0,High,High,Medium,Medium,High,High,en,United States of America,Robert Downey Jr.,Jon Favreau
Snow White and the Huntsman,Adventure,Fantasy,2012.0,High,High,Medium,Medium,High,High,en,United States of America,Kristen Stewart,Rupert Sanders
Maleficent,Fantasy,Adventure,2014.0,High,High,Medium,High,High,High,en,United States of America,Angelina Jolie,Robert Stromberg
Dawn of the Planet of the Apes,Science Fiction,Action,2014.0,High,High,Medium,High,High,High,en,United States of America,Andy Serkis,Matt Reeves
The Lovers,Action,Adventure,2015.0,Medium,Low,Medium,Low,Low,Low,en,Australia,Josh Hartnett,Roland Joffé
47 Ronin,Drama,Action,2013.0,High,Medium,Medium,Medium,Medium,High,en,United States of America,Keanu Reeves,Carl Rinsch
Captain America: The Winter Soldier,Action,Adventure,2014.0,High,High,Medium,High,High,High,en,United States of America,Chris Evans,Anthony Russo
Shrek Forever After,Comedy,Adventure,2010.0,High,High,Medium,Medium,Medium,High,en,United States of America,Mike Myers,Mike Mitchell
Tomorrowland,Adventure,Family,2015.0,High,Medium,Medium,Medium,High,High,en,United States of America,Britt Robertson,Brad Bird
Big Hero 6,Adventure,Family,2014.0,High,High,Medium,High,High,High,en,United States of America,Scott Adsit,Chris Williams
Wreck-It Ralph,Family,Animation,2012.0,High,High,Medium,High,High,High,en,United States of America,John C. Reilly,Rich Moore
The Polar Express,Adventure,Animation,2004.0,High,High,Medium,Medium,Medium,High,en,United States of America,Tom Hanks,Robert Zemeckis
Independence Day: Resurgence,Action,Adventure,2016.0,High,High,Medium,Low,High,High,en,United States of America,Liam Hemsworth,Roland Emmerich
How to Train Your Dragon,Fantasy,Adventure,2010.0,High,High,Medium,High,High,High,en,United States of America,Jay Baruchel,Chris Sanders
Terminator 3: Rise of the Machines,Action,Thriller,2003.0,High,High,Medium,Medium,High,High,en,Germany,Arnold Schwarzenegger,Jonathan Mostow
Guardians of the Galaxy,Action,Science Fiction,2014.0,High,High,Medium,High,High,High,en,United Kingdom,Chris Pratt,James Gunn
Interstellar,Adventure,Drama,2014.0,High,High,Long,High,High,High,en,Canada,Matthew McConaughey,Christopher Nolan
Inception,Action,Thriller,2010.0,High,High,Long,High,High,High,en,United Kingdom,Leonardo DiCaprio,Christopher Nolan
Shin Godzilla,Action,Adventure,2016.0,Medium,Medium,Medium,Medium,Low,Low,ja,Japan,Hiroki Hasegawa,Hideaki Anno
The Hobbit: An Unexpected Journey,Adventure,Fantasy,2012.0,High,High,Long,High,High,High,en,New Zealand,Ian McKellen,Peter Jackson
The Fast and the Furious,Action,Crime,2001.0,Medium,Medium,Medium,Medium,High,Low,en,Germany,Paul Walker,Rob Cohen
The Curious Case of Benjamin Button,Fantasy,Drama,2008.0,High,High,Long,High,High,High,en,United States of America,Cate Blanchett,David Fincher
X-Men: First Class,Action,Science Fiction,2011.0,High,High,Medium,High,High,Low,en,United States of America,James McAvoy,Matthew Vaughn
The Hunger Games: Mockingjay - Part 2,Action,Adventure,2015.0,High,High,Medium,Medium,High,High,en,Germany,Jennifer Lawrence,Francis Lawrence
The Sorcerer's Apprentice,Fantasy,Adventure,2010.0,High,Medium,Medium,Medium,Medium,High,en,United States of America,Nicolas Cage,Jon Turteltaub
Poseidon,Adventure,Action,2006.0,High,Medium,Medium,Medium,Medium,Medium,en,United States of America,Kurt Russell,Wolfgang Petersen
Shrek the Third,Fantasy,Adventure,2007.0,High,High,Medium,Medium,High,High,en,United States of America,Mike Myers,Chris Miller
Warcraft,Action,Adventure,2016.0,High,High,Medium,Medium,High,High,en,Canada,Paula Patton,Duncan Jones
Terminator Genisys,Science Fiction,Action,2015.0,High,High,Medium,Medium,High,High,en,United States of America,Arnold Schwarzenegger,Alan Taylor
The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure,Family,2010.0,High,High,Medium,Medium,Medium,High,en,United States of America,Skandar Keynes,Michael Apted
Pearl Harbor,History,Romance,2001.0,High,High,Long,Medium,Medium,High,en,United States of America,Ben Affleck,Michael Bay
Transformers,Adventure,Science Fiction,2007.0,High,High,Long,Medium,High,Medium,en,United States of America,Shia LaBeouf,Michael Bay
Alexander,War,History,2004.0,High,Medium,Long,Medium,Medium,High,en,France,Colin Farrell,Oliver Stone
Harry Potter and the Order of the Phoenix,Adventure,Fantasy,2007.0,High,High,Medium,High,High,High,en,United Kingdom,Daniel Radcliffe,David Yates
Harry Potter and the Goblet of Fire,Adventure,Fantasy,2005.0,High,High,Long,High,High,High,en,United Kingdom,Daniel Radcliffe,Mike Newell
Hancock,Fantasy,Action,2008.0,High,High,Medium,Medium,High,High,en,United States of America,Will Smith,Peter Berg
I Am Legend,Drama,Horror,2007.0,High,High,Medium,Medium,High,High,en,United States of America,Will Smith,Francis Lawrence
Charlie and the Chocolate Factory,Adventure,Comedy,2005.0,High,High,Medium,Medium,High,High,en,Australia,Johnny Depp,Tim Burton
Ratatouille,Animation,Comedy,2007.0,High,High,Medium,High,High,High,en,United States of America,Patton Oswalt,Jan Pinkava
Batman Begins,Action,Crime,2005.0,High,High,Long,High,High,High,en,United Kingdom,Christian Bale,Christopher Nolan
Madagascar: Escape 2 Africa,Family,Animation,2008.0,High,High,Short,Medium,Medium,High,en,United States of America,Ben Stiller,Eric Darnell
Night at the Museum: Battle of the Smithsonian,Adventure,Fantasy,2009.0,High,High,Medium,Medium,Medium,High,en,United States of America,Ben Stiller,Shawn Levy
X-Men Origins: Wolverine,Adventure,Action,2009.0,High,High,Medium,Medium,High,Low,en,United States of America,Hugh Jackman,Gavin Hood
The Matrix Revolutions,Adventure,Action,2003.0,High,High,Medium,Medium,High,High,en,United States of America,Keanu Reeves,Lilly Wachowski
Frozen,Animation,Adventure,2013.0,High,High,Medium,High,High,High,en,United States of America,Kristen Bell,Chris Buck
The Matrix Reloaded,Adventure,Action,2003.0,High,High,Medium,Medium,High,High,en,Australia,Keanu Reeves,Lilly Wachowski
Thor: The Dark World,Action,Adventure,2013.0,High,High,Medium,Medium,High,High,en,United States of America,Chris Hemsworth,Alan Taylor
Mad Max: Fury Road,Action,Adventure,2015.0,High,High,Medium,High,High,High,en,Australia,Tom Hardy,George Miller
Angels & Demons,Thriller,Mystery,2009.0,High,High,Medium,Medium,High,High,en,Italy,Tom Hanks,Ron Howard
Thor,Adventure,Fantasy,2011.0,High,High,Medium,Medium,High,High,en,United States of America,Chris Hemsworth,Kenneth Branagh
Bolt,Animation,Family,2008.0,High,High,Medium,Medium,Medium,High,en,United States of America,John Travolta,Chris Williams
G-Force,Fantasy,Action,2009.0,High,Medium,Short,Medium,Medium,Medium,en,United States of America,Sam Rockwell,Hoyt Yeatman
Dark Shadows,Comedy,Fantasy,2012.0,High,Medium,Medium,Medium,High,High,en,Australia,Johnny Depp,Tim Burton
Mission: Impossible - Rogue Nation,Action,Adventure,2015.0,High,High,Medium,High,High,High,en,China,Tom Cruise,Christopher McQuarrie
The Wolfman,Drama,Horror,2010.0,High,Low,Medium,Medium,Medium,Medium,en,United States of America,Benicio del Toro,Joe Johnston
Bee Movie,Family,Animation,2007.0,High,Medium,Medium,Medium,Medium,Medium,en,United States of America,Jerry Seinfeld,Steve Hickner
Kung Fu Panda 2,Animation,Family,2011.0,High,High,Medium,Medium,Medium,High,en,United States of America,Jack Black,Jennifer Yuh Nelson
The Last Airbender,Action,Adventure,2010.0,High,High,Medium,Low,Medium,High,en,United States of America,Noah Ringer,M. Night Shyamalan
Mission: Impossible III,Adventure,Action,2006.0,High,High,Medium,Medium,High,High,en,China,Tom Cruise,J.J. Abrams
White House Down,Action,Drama,2013.0,High,Medium,Medium,Medium,Medium,High,en,United States of America,Channing Tatum,Roland Emmerich
Mars Needs Moms,Adventure,Animation,2011.0,High,Low,Short,Medium,Low,Medium,en,United States of America,Seth Green,Simon Wells
Flushed Away,Adventure,Animation,2006.0,High,Medium,Short,Medium,Medium,Medium,en,United Kingdom,Hugh Jackman,David Bowers
Pan,Adventure,Family,2015.0,High,Medium,Medium,Medium,Medium,High,en,United States of America,Levi Miller,Joe Wright
Mr. Peabody & Sherman,Animation,Adventure,2014.0,High,Medium,Medium,Medium,Medium,High,en,United States of America,Ty Burrell,Rob Minkoff
Troy,Adventure,Drama,2004.0,High,High,Long,Medium,High,High,en,United States of America,Brad Pitt,Wolfgang Petersen
Madagascar 3: Europe's Most Wanted,Animation,Family,2012.0,High,High,Medium,Medium,Medium,High,en,United States of America,Ben Stiller,Conrad Vernon
Die Another Day,Adventure,Action,2002.0,High,High,Medium,Medium,Medium,High,en,United Kingdom,Pierce Brosnan,Lee Tamahori
Ghostbusters,Action,Fantasy,2016.0,High,Medium,Medium,Medium,High,High,en,United States of America,Melissa McCarthy,Paul Feig
Armageddon,Action,Thriller,1998.0,High,High,Long,Medium,High,High,en,United States of America,Bruce Willis,Michael Bay
Men in Black II,Action,Adventure,2002.0,High,High,Short,Medium,High,High,en,United States of America,Tommy Lee Jones,Barry Sonnenfeld
Beowulf,Adventure,Action,2007.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Ray Winstone,Robert Zemeckis
Kung Fu Panda 3,Action,Adventure,2016.0,High,High,Medium,Medium,Medium,High,en,China,Jack Black,Jennifer Yuh Nelson
Mission: Impossible - Ghost Protocol,Action,Thriller,2011.0,High,High,Medium,Medium,High,High,en,Czech Republic,Tom Cruise,Brad Bird
Rise of the Guardians,Fantasy,Animation,2012.0,High,High,Medium,High,Medium,High,en,United States of America,Chris Pine,Peter Ramsey
The Last Samurai,Drama,Action,2003.0,High,High,Long,High,Medium,High,en,Japan,Tom Cruise,Edward Zwick
Exodus: Gods and Kings,Adventure,Drama,2014.0,High,Medium,Long,Medium,Medium,High,en,Spain,Christian Bale,Ridley Scott
Star Trek,Science Fiction,Action,2009.0,High,High,Medium,High,High,High,en,Germany,Chris Pine,J.J. Abrams
Spider-Man,Fantasy,Action,2002.0,High,High,Medium,Medium,High,High,en,United States of America,Tobey Maguire,Sam Raimi
How to Train Your Dragon 2,Fantasy,Action,2014.0,High,High,Medium,High,High,High,en,United States of America,Jay Baruchel,Dean DeBlois
Watchmen,Action,Mystery,2009.0,High,Medium,Long,High,High,High,en,United States of America,Malin Åkerman,Zack Snyder
Lethal Weapon 4,Action,Adventure,1998.0,High,Medium,Medium,Medium,Medium,Medium,en,United States of America,Mel Gibson,Richard Donner
Hulk,Drama,Action,2003.0,High,Medium,Medium,Medium,Medium,High,en,United States of America,Eric Bana,Ang Lee
G.I. Joe: Retaliation,Adventure,Action,2013.0,High,High,Medium,Medium,High,High,en,United States of America,Dwayne Johnson,Jon M. Chu
Sahara,Action,Adventure,2005.0,High,Medium,Medium,Medium,Low,Medium,en,Germany,Matthew McConaughey,Breck Eisner
Final Fantasy: The Spirits Within,Adventure,Action,2001.0,High,Medium,Medium,Medium,Low,Medium,en,Japan,Donald Sutherland,Hironobu Sakaguchi
Captain America: The First Avenger,Action,Adventure,2011.0,High,High,Medium,Medium,High,High,en,United States of America,Chris Evans,Joe Johnston
The World Is Not Enough,Adventure,Action,1999.0,High,High,Medium,Medium,Medium,High,en,United Kingdom,Pierce Brosnan,Michael Apted
The Twilight Saga: Breaking Dawn - Part 2,Adventure,Fantasy,2012.0,High,High,Medium,Medium,High,High,en,United States of America,Kristen Stewart,Bill Condon
Happy Feet Two,Animation,Comedy,2011.0,High,Medium,Medium,Medium,Low,Medium,en,Australia,Elijah Wood,George Miller
The Incredible Hulk,Science Fiction,Action,2008.0,High,Medium,Medium,Medium,High,High,en,United States of America,Edward Norton,Louis Leterrier
The BFG,Adventure,Family,2016.0,High,Medium,Medium,Medium,Medium,High,en,India,Ruby Barnhill,Steven Spielberg
The Revenant,Western,Drama,2015.0,High,High,Long,High,High,High,en,Canada,Leonardo DiCaprio,Alejandro González Iñárritu
Turbo,Animation,Family,2013.0,High,Medium,Medium,Medium,Medium,High,en,United States of America,Ryan Reynolds,David Soren
Rango,Animation,Comedy,2011.0,High,Medium,Medium,Medium,High,Medium,en,United States of America,Johnny Depp,Gore Verbinski
Penguins of Madagascar,Family,Animation,2014.0,High,High,Medium,Medium,Medium,High,en,United States of America,Tom McGrath,Eric Darnell
The Bourne Ultimatum,Action,Drama,2007.0,Medium,High,Medium,High,High,High,en,Germany,Matt Damon,Paul Greengrass
Kung Fu Panda,Adventure,Animation,2008.0,High,High,Medium,Medium,High,High,en,United States of America,Jack Black,Mark Osborne
Ant-Man,Science Fiction,Action,2015.0,High,High,Medium,High,High,High,en,United States of America,Paul Rudd,Peyton Reed
The Hunger Games: Catching Fire,Adventure,Action,2013.0,High,High,Long,High,High,High,en,United States of America,Jennifer Lawrence,Francis Lawrence
Home,Fantasy,Comedy,2015.0,High,High,Medium,Medium,Medium,High,en,United States of America,Jim Parsons,Tim Johnson
War of the Worlds,Adventure,Thriller,2005.0,High,High,Medium,Medium,High,High,en,United States of America,Tom Cruise,Steven Spielberg
Bad Boys II,Adventure,Action,2003.0,High,Medium,Long,Medium,Medium,High,en,United States of America,Martin Lawrence,Michael Bay
Puss in Boots,Action,Adventure,2011.0,High,High,Medium,Medium,Low,Medium,en,United States of America,Antonio Banderas,Chris Miller
Salt,Action,Mystery,2010.0,High,Medium,Medium,Medium,High,High,en,United States of America,Angelina Jolie,Phillip Noyce
Noah,Drama,Adventure,2014.0,High,High,Medium,Medium,High,High,en,United States of America,Russell Crowe,Darren Aronofsky
The Adventures of Tintin,Adventure,Animation,2011.0,High,High,Medium,Medium,High,High,en,New Zealand,Jamie Bell,Steven Spielberg
Harry Potter and the Prisoner of Azkaban,Adventure,Fantasy,2004.0,High,High,Long,High,High,High,en,United Kingdom,Daniel Radcliffe,Alfonso Cuarón
After Earth,Science Fiction,Action,2013.0,High,Medium,Medium,Medium,High,High,en,United States of America,Jaden Smith,M. Night Shyamalan
Dinosaur,Animation,Family,2000.0,High,High,Short,Medium,Medium,Medium,en,United States of America,D. B. Sweeney,Ralph Zondag
Night at the Museum: Secret of the Tomb,Adventure,Comedy,2014.0,High,High,Medium,Medium,Medium,High,en,United Kingdom,Ben Stiller,Shawn Levy
Megamind,Animation,Action,2010.0,High,High,Medium,Medium,Medium,High,en,United States of America,Will Ferrell,Tom McGrath
Harry Potter and the Philosopher's Stone,Adventure,Fantasy,2001.0,High,High,Long,High,High,High,en,United Kingdom,Daniel Radcliffe,Chris Columbus
R.I.P.D.,Fantasy,Action,2013.0,High,Medium,Medium,Medium,Medium,High,en,United States of America,Jeff Bridges,Robert Schwentke
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure,Fantasy,2003.0,High,High,Long,High,High,High,en,United States of America,Johnny Depp,Gore Verbinski
The Hunger Games: Mockingjay - Part 1,Science Fiction,Adventure,2014.0,High,High,Medium,Medium,High,High,en,United States of America,Jennifer Lawrence,Francis Lawrence
The Da Vinci Code,Thriller,Mystery,2006.0,High,High,Long,Medium,High,High,en,United States of America,Tom Hanks,Ron Howard
Rio 2,Animation,Adventure,2014.0,High,High,Medium,Medium,Medium,High,en,United States of America,Jesse Eisenberg,Carlos Saldanha
X2,Adventure,Action,2003.0,High,High,Medium,Medium,High,Low,en,United States of America,Patrick Stewart,Bryan Singer
Fast Five,Action,Thriller,2011.0,High,High,Medium,High,High,Low,en,United States of America,Vin Diesel,Justin Lin
Sherlock Holmes: A Game of Shadows,Adventure,Action,2011.0,High,High,Medium,High,High,High,en,United States of America,Robert Downey Jr.,Guy Ritchie
Clash of the Titans,Adventure,Fantasy,2010.0,High,Medium,Medium,Medium,High,High,en,United States of America,Sam Worthington,Louis Leterrier
Total Recall,Action,Adventure,1990.0,Medium,Medium,Medium,High,Medium,High,en,United States of America,Arnold Schwarzenegger,Paul Verhoeven
The 13th Warrior,Adventure,Fantasy,1999.0,High,Medium,Medium,Medium,Medium,Medium,en,United States of America,Antonio Banderas,John McTiernan
The Bourne Legacy,Action,Thriller,2012.0,High,Medium,Medium,Medium,High,High,en,United States of America,Jeremy Renner,Tony Gilroy
Batman & Robin,Action,Crime,1997.0,High,Medium,Medium,Low,Medium,High,en,United Kingdom,George Clooney,Joel Schumacher
How the Grinch Stole Christmas,Family,Comedy,2000.0,High,High,Medium,Medium,Medium,High,en,Germany,Jim Carrey,Ron Howard
The Day After Tomorrow,Action,Adventure,2004.0,High,High,Medium,Medium,High,High,en,United States of America,Dennis Quaid,Roland Emmerich
Mission: Impossible II,Adventure,Action,2000.0,High,High,Medium,Medium,Medium,High,en,Germany,Tom Cruise,John Woo
Fantastic 4: Rise of the Silver Surfer,Adventure,Fantasy,2007.0,High,Medium,Medium,Medium,High,High,en,Germany,Ioan Gruffudd,Tim Story
Life of Pi,Adventure,Drama,2012.0,High,High,Medium,High,High,High,en,United States of America,Suraj Sharma,Ang Lee
Ghost Rider,Thriller,Action,2007.0,High,Medium,Medium,Medium,Medium,High,en,United States of America,Nicolas Cage,Mark Steven Johnson
Jason Bourne,Action,Thriller,2016.0,High,High,Medium,Medium,High,High,en,United Kingdom,Matt Damon,Paul Greengrass
Charlie's Angels: Full Throttle,Action,Adventure,2003.0,High,Medium,Medium,Medium,Medium,High,en,United States of America,Cameron Diaz,McG
Prometheus,Science Fiction,Adventure,2012.0,High,High,Medium,Medium,High,High,en,United Kingdom,Noomi Rapace,Ridley Scott
Stuart Little 2,Family,Adventure,2002.0,High,Medium,Short,Medium,Medium,Medium,en,United States of America,Michael J. Fox,Rob Minkoff
Elysium,Science Fiction,Action,2013.0,High,Medium,Medium,Medium,High,High,en,United States of America,Matt Damon,Neill Blomkamp
The Chronicles of Riddick,Action,Science Fiction,2004.0,High,Medium,Medium,Medium,Medium,Medium,en,United States of America,Vin Diesel,David Twohy
